iter	Passed	Remaining
412	4026	5723
413	4036	5713
414	4044	5701
415	4054	5691
416	4060	5677
417	4069	5665
418	4075	5651
419	4085	5641
420	4094	5630
421	4102	5618
422	4108	5604
423	4117	5593
424	4123	5579
425	4134	5571
426	4143	5560
427	4152	5549
428	4165	5543
429	4171	5529
430	4179	5517
431	4185	5503
432	4192	5489
433	4199	5477
434	4206	5463
435	4212	5449
436	4223	5441
437	4232	5430
438	4238	5416
439	4246	5404
440	4252	5390
441	4259	5377
442	4266	5364
443	4272	5350
444	4279	5337
445	4285	5323
446	4292	5310
447	4298	5296
448	4305	5283
449	4311	5269
450	4317	5255
451	4326	5244
452	4331	5230
453	4338	5217
454	4345	5204
455	4353	5193
456	4363	5184
457	4370	5171
458	4376	5158
459	4382	5144
460	4390	5133
461	4396	5119
462	4402	5106
463	4408	5093
464	4414	5079
465	4421	5067
466	4429	5055
467	4437	5044
468	4443	5031
469	4449	5017
470	4459	5008
471	4466	4996
472	4474	4984
473	4480	4972
474	4494	4967
475	4503	4957
476	4511	4946
477	4520	4936
478	4528	4926
479	4539	4917
480	4547	4906
481	4557	4898
482	4568	4890
483	4576	4879
484	4585	4869
485	4594	4858
486	4603	4848
487	4612	4839
488	4621	4829
489	4633	4822
490	4642	4812
491	4650	4801
492	4659	4791
493	4667	4781
494	4677	4771
495	4684	4759
496	4690	4746
497	4697	4734
498	4703	4722
499	4709	4709
500	4716	4697
501	4722	4684
502	4730	4673
503	4736	4661
504	4743	4649
505	4750	4637
506	4756	4624
507	4763	4613
508	4771	4602
509	4780	4593
510	4786	4580
511	4794	4569
512	4800	4556
513	4806	4544
514	4813	4532
515	4819	4520
516	4826	4509
517	4832	4496
518	4838	4484
519	4845	4472
520	4851	4460
521	4858	4449
522	4867	4439
523	4873	4427
524	4880	4415
525	4887	4404
526	4894	4393
527	4901	4381
528	4908	4369
529	4915	4358
530	4923	4348
531	4929	4336
532	4934	4323
533	4942	4312
534	4948	4301
535	4955	4289
536	4961	4278
537	4968	4266
538	4975	4255
539	4982	4244
540	4989	4233
541	4996	4221
542	5002	4210
543	5009	4198
544	5014	4186
545	5022	4176
546	5029	4164
547	5037	4155
548	5044	4143
549	5053	4134
550	5060	4123
551	5065	4111
552	5074	4101
553	5080	4090
554	5088	4079
555	5093	4067
556	5102	4057
557	5107	4045
558	5114	4034
559	5121	4024
560	5127	4012
561	5134	4001
562	5141	3990
563	5147	3978
564	5153	3968
565	5159	3956
566	5166	3945
567	5173	3934
568	5179	3923
569	5186	3912
570	5195	3903
571	5202	3893
572	5209	3882
573	5216	3871
574	5222	3859
575	5228	3848
576	5235	3838
577	5242	3827
578	5249	3817
579	5255	3805
580	5262	3795
581	5268	3783
582	5274	3772
583	5282	3763
584	5289	3752
585	5298	3743
586	5304	3731
587	5311	3721
588	5317	3710
589	5323	3699
590	5332	3690
591	5339	3679
592	5346	3669
593	5352	3658
594	5360	3648
595	5368	3638
596	5376	3629
597	5385	3620
598	5394	3611
599	5405	3603
600	5415	3595
601	5425	3586
602	5433	3577
603	5448	3572
604	5459	3564
605	5497	3574
606	5528	3579
607	5547	3576
608	5559	3569
609	5567	3559
610	5580	3552
611	5593	3546
612	5607	3540
613	5616	3531
614	5628	3523
615	5643	3518
616	5652	3508
617	5662	3500
618	5673	3491
619	5680	3481
620	5695	3475
621	5707	3468
622	5714	3457
623	5723	3449
624	5731	3438
625	5741	3430
626	5749	3420
627	5759	3411
628	5765	3400
629	5774	3391
630	5780	3380
631	5790	3371
632	5798	3361
633	5806	3351
634	5812	3341
635	5823	3332
636	5829	3321
637	5837	3312
638	5843	3301
639	5850	3291
640	5856	3280
641	5863	3269
642	5869	3259
643	5876	3248
644	5883	3238
645	5890	3227
646	5897	3217
647	5904	3207
648	5911	3196
649	5918	3186
650	5924	3175
651	5931	3166
652	5940	3156
653	5949	3147
654	5955	3136
655	5962	3126
656	5968	3116
657	5974	3105
658	5982	3095
659	5989	3085
660	5997	3075
661	6006	3066
662	6020	3060
663	6032	3052
664	6041	3043
665	6062	3040
666	6081	3036
667	6099	3031
668	6117	3026
669	6132	3020
670	6149	3015
671	6163	3008
672	6177	3001
673	6185	2991
674	6199	2984
675	6214	2978
676	6228	2971
677	6242	2964
678	6259	2958
679	6280	2955
680	6295	2948
681	6304	2939
682	6312	2929
683	6321	2920
684	6328	2910
685	6336	2900
686	6343	2890
687	6352	2880
688	6360	2870
689	6368	2861
690	6378	2852
691	6394	2846
692	6406	2838
693	6417	2829
694	6428	2820
695	6451	2817
696	6461	2808
697	6477	2802
698	6492	2795
699	6510	2790
700	6533	2786
701	6550	2780
702	6566	2774
703	6586	2769
704	6598	2761
705	6607	2751
706	6619	2743
707	6629	2734
708	6637	2724
709	6647	2714
710	6655	2705
711	6667	2696
712	6678	2688
713	6689	2679
714	6704	2672
715	6720	2665
716	6735	2658
717	6745	2649
718	6753	2639
719	6769	2632
720	6786	2626
721	6801	2619
722	6815	2611
723	6827	2602
724	6834	2592
725	6849	2585
726	6862	2577
727	6869	2566
728	6884	2559
729	6895	2550
730	6901	2539
731	6910	2530
732	6916	2519
733	6925	2509
734	6932	2499
735	6940	2489
736	6947	2479
737	6959	2470
738	6972	2462
739	6982	2453
740	6995	2445
741	7012	2438
742	7030	2431
743	7043	2423
744	7057	2415
745	7068	2406
746	7079	2397
747	7094	2390
748	7106	2381
749	7115	2371
750	7124	2362
751	7136	2353
752	7144	2343
753	7157	2335
754	7173	2327
755	7193	2321
756	7209	2314
757	7219	2304
758	7226	2294
759	7236	2285
760	7242	2274
761	7251	2265
762	7258	2254
763	7266	2244
764	7272	2234
765	7280	2224
766	7287	2213
767	7295	2203
768	7305	2194
769	7313	2184
770	7319	2174
771	7326	2163
772	7335	2154
773	7342	2143
774	7349	2133
775	7355	2123
776	7363	2113
777	7369	2102
778	7376	2092
779	7383	2082
780	7389	2072
781	7395	2061
782	7401	2051
783	7410	2041
784	7417	2031
785	7427	2022
786	7436	2012
787	7448	2003
788	7462	1995
789	7485	1989
790	7503	1982
791	7531	1977
792	7549	1970
793	7566	1963
794	7583	1955
795	7599	1947
796	7616	1940
797	7633	1932
798	7656	1926
799	7665	1916
800	7680	1908
801	7693	1899
802	7706	1890
803	7714	1880
804	7732	1873
805	7746	1864
806	7760	1855
807	7770	1846
808	7778	1836
809	7788	1826
810	7796	1816
811	7806	1807
812	7813	1797
813	7822	1787
814	7829	1777
815	7838	1767
816	7844	1757
817	7853	1747
818	7860	1737
819	7871	1727
820	7884	1719
821	7893	1709
822	7906	1700
823	7923	1692
824	7941	1684
825	7959	1676
826	7968	1667
827	7975	1656
828	7990	1648
829	8001	1638
830	8008	1628
831	8022	1619
832	8036	1611
833	8052	1602
834	8066	1593
835	8079	1584
836	8088	1575
837	8105	1566
838	8122	1558
839	8138	1550
840	8149	1540
841	8164	1531
842	8170	1521
843	8182	1512
844	8191	1502
845	8199	1492
846	8208	1482
847	8216	1472
848	8227	1463
849	8236	1453
850	8245	1443
851	8263	1435
852	8275	1426
853	8284	1416
854	8297	1407
855	8311	1398
856	8324	1389
857	8342	1380
858	8359	1372
859	8375	1363
860	8386	1353
861	8410	1346
862	8429	1338
863	8446	1329
864	8462	1320
865	8476	1311
866	8488	1302
867	8499	1292
868	8510	1282
869	8523	1273
870	8535	1264
871	8543	1254
872	8559	1245
873	8569	1235
874	8577	1225
875	8586	1215
876	8594	1205
877	8602	1195
878	8609	1185
879	8618	1175
880	8625	1165
881	8633	1155
882	8647	1145
883	8657	1136
884	8669	1126
885	8679	1116
886	8689	1106
887	8702	1097
888	8708	1087
889	8719	1077
890	8729	1067
891	8740	1058
892	8752	1048
893	8761	1038
894	8770	1028
895	8780	1019
896	8787	1009
897	8797	999
898	8804	989
899	8816	979
900	8830	970
901	8849	961
902	8862	952
903	8876	942
904	8894	933
905	8903	923
906	8920	914
907	8943	906
908	8952	896
909	8965	886
910	8978	877
911	8995	868
912	9008	858
913	9015	848
914	9027	838
915	9033	828
916	9043	818
917	9049	808
918	9058	798
919	9064	788
920	9073	778
921	9080	768
922	9089	758
923	9095	748
924	9107	738
925	9113	728
926	9123	718
927	9141	709
928	9155	699
929	9167	690
930	9176	680
931	9192	670
932	9207	661
933	9226	651
934	9241	642
935	9256	632
936	9271	623
937	9286	613
938	9297	604
939	9306	594
940	9320	584
941	9335	574
942	9349	565
943	9366	555
944	9383	546
945	9400	536
946	9410	526
947	9422	516
948	9436	507
949	9449	497
950	9455	487
951	9465	477
952	9473	467
953	9481	457
954	9487	447
955	9499	437
956	9509	427
957	9520	417
958	9534	407
959	9547	397
960	9560	387
961	9570	378
962	9582	368
963	9612	358
964	9625	349
965	9645	339
966	9657	329
967	9665	319
968	9680	309
969	9694	299
970	9710	290
971	9727	280
972	9742	270
973	9754	260
974	9761	250
975	9771	240
976	9778	230
977	9788	220
978	9795	210
979	9804	200
980	9811	190
981	9822	180
982	9830	170
983	9841	160
984	9857	150
985	9874	140
986	9900	130
987	9926	120
988	9945	110
989	9961	100
990	9978	90
991	9993	80
992	10010	70
993	10025	60
994	10040	50
995	10052	40
996	10060	30
997	10072	20
998	10091	10
999	10101	0
