iter	Passed	Remaining
218	2063	7360
219	2111	7485
220	2128	7502
221	2148	7529
222	2164	7540
223	2194	7601
224	2201	7583
225	2209	7566
226	2216	7547
227	2225	7535
228	2232	7516
229	2240	7500
230	2247	7482
231	2254	7464
232	2261	7445
233	2269	7428
234	2277	7412
235	2284	7394
236	2292	7379
237	2299	7361
238	2306	7345
239	2314	7328
240	2323	7316
241	2330	7299
242	2339	7287
243	2346	7270
244	2354	7254
245	2361	7238
246	2369	7222
247	2375	7204
248	2382	7186
249	2390	7171
250	2397	7154
251	2404	7138
252	2411	7121
253	2421	7111
254	2428	7094
255	2436	7082
256	2444	7067
257	2452	7052
258	2459	7037
259	2467	7022
260	2477	7015
261	2486	7002
262	2492	6985
263	2501	6973
264	2508	6958
265	2518	6948
266	2525	6932
267	2532	6918
268	2539	6901
269	2547	6887
270	2554	6871
271	2561	6856
272	2569	6841
273	2576	6826
274	2584	6813
275	2591	6798
276	2599	6784
277	2606	6769
278	2615	6759
279	2622	6744
280	2629	6729
281	2637	6714
282	2644	6700
283	2652	6686
284	2659	6671
285	2666	6657
286	2673	6642
287	2681	6629
288	2688	6613
289	2703	6618
290	2714	6612
291	2721	6597
292	2728	6583
293	2736	6570
294	2743	6556
295	2750	6541
296	2758	6528
297	2764	6513
298	2772	6500
299	2780	6486
300	2788	6475
301	2795	6460
302	2801	6445
303	2808	6430
304	2815	6415
305	2824	6405
306	2831	6392
307	2838	6377
308	2845	6363
309	2852	6349
310	2859	6335
311	2866	6320
312	2874	6308
313	2880	6294
314	2888	6280
315	2894	6266
316	2902	6252
317	2908	6238
318	2916	6225
319	2925	6216
320	2932	6202
321	2939	6188
322	2946	6176
323	2953	6161
324	2960	6147
325	2967	6134
326	2974	6121
327	2981	6108
328	2988	6095
329	2995	6082
330	3002	6068
331	3009	6055
332	3016	6042
333	3023	6029
334	3030	6016
335	3037	6002
336	3044	5990
337	3052	5978
338	3059	5966
339	3066	5953
340	3073	5940
341	3080	5927
342	3087	5914
343	3094	5901
344	3101	5888
345	3108	5874
346	3115	5863
347	3122	5850
348	3129	5838
349	3136	5825
350	3143	5812
351	3151	5802
352	3158	5789
353	3166	5777
354	3173	5766
355	3180	5754
356	3187	5741
357	3194	5728
358	3201	5716
359	3212	5711
360	3220	5700
361	3226	5687
362	3233	5674
363	3240	5662
364	3247	5649
365	3254	5637
366	3262	5627
367	3269	5614
368	3276	5602
369	3283	5590
370	3290	5578
371	3297	5566
372	3303	5553
373	3310	5541
374	3317	5529
375	3324	5517
376	3331	5505
377	3338	5493
378	3346	5483
379	3353	5471
380	3361	5461
381	3368	5450
382	3375	5438
383	3382	5425
384	3389	5414
385	3396	5403
386	3403	5391
387	3410	5379
388	3417	5367
389	3428	5362
390	3436	5351
391	3443	5340
392	3450	5329
393	3457	5317
394	3464	5306
395	3471	5295
396	3479	5285
397	3487	5274
398	3494	5263
399	3501	5251
400	3508	5240
401	3514	5227
402	3521	5216
403	3528	5205
404	3535	5194
405	3542	5183
406	3549	5172
407	3556	5161
408	3563	5149
